"geo_code","domain_supermarket_proximity","domain_supermarket_accessibility","domain_ecommerce_access","domain_socio_demographic","domain_nonsupermarket_proximity","domain_food_for_families","domain_fuel_poverty","country","country_denominator","combined","pp_dec_domain_supermarket_proximity","pp_dec_domain_supermarket_accessibility","pp_dec_domain_ecommerce_access","pp_dec_domain_socio_demographic","pp_dec_domain_nonsupermarket_proximity","pp_dec_domain_food_for_families","pp_dec_domain_fuel_poverty","pp_dec_combined"
"E01001354",27868,31904,26601,10233,25961,24696,22623,"E",32843,29972,9,10,9,4,8,8,7,10
"E01001280",4992,10441,26601,15602,15720,21882,31479,"E",32843,23402,2,4,9,5,5,7,10,8
"E01001349",19724,20108,8458,8826,20504,20748,13851,"E",32843,9521,7,7,3,3,7,7,5,3
"E01001312",25803,23191,6523,14367,24570,23381,19001,"E",32843,19233,8,8,2,5,8,8,6,6
"E01001287",14629,17232,8458,5655,14920,15931,8354,"E",32843,2979,5,6,3,2,5,5,3,1
"E01001253",20384,25914,26601,11977,25726,13376,20687,"E",32843,20656,7,8,9,4,8,5,7,7
"E01001375",25540,16673,29847,24710,25431,23101,32108,"E",32843,31652,8,6,10,8,8,8,10,10
"E01001285",10449,24211,18356,10609,17365,15744,9937,"E",32843,7632,4,8,6,4,6,5,4,3
"E01001262",9525,13852,8458,7302,23526,22859,7921,"E",32843,6012,3,5,3,3,8,7,3,2
"E01001343",11612,13759,6523,16738,18916,22921,20455,"E",32843,10690,4,5,2,6,6,7,7,4
"E01001249",32517,30890,6523,2104,25620,13750,9901,"E",32843,24703,10,10,2,1,8,5,4,8
"E01001282",10005,16526,8458,5205,11255,17168,5684,"E",32843,1725,4,6,3,2,4,6,2,1
"E01001342",14997,22456,6523,14680,20585,23367,18849,"E",32843,13518,5,7,2,5,7,8,6,5
"E01001202",31806,26735,6523,3090,26265,24486,8672,"E",32843,23018,10,9,2,1,8,8,3,8
"E01001373",13953,13419,955,7249,26094,22907,8202,"E",32843,6961,5,5,1,3,8,7,3,3
"E01001359",17499,10710,955,8818,25983,24600,11633,"E",32843,9296,6,4,1,3,8,8,4,3
"E01001381",26119,26477,29847,7133,26628,23057,15357,"E",32843,25731,8,9,10,3,9,8,5,8
"E01001309",23842,11919,6523,18491,30015,23721,16429,"E",32843,19814,8,4,2,6,10,8,6,7
"E01022318",17897,28558,18356,28825,19134,13161,32253,"E",32843,30523,6,9,6,9,6,5,10,10
"E01022286",22587,28989,8458,10996,18699,15557,3610,"E",32843,10906,7,9,3,4,6,5,2,4
"E01022335",30410,23402,18356,20314,9718,21426,28681,"E",32843,26644,10,8,6,7,3,7,9,9
"E01022276",17694,22307,18356,27052,8468,19386,31300,"E",32843,26734,6,7,6,9,3,6,10,9
"E01022280",20865,26009,26601,25035,4305,18539,30083,"E",32843,27164,7,8,9,8,2,6,10,9
